Семья должностей,Подсемья,Типовые должности,Уровни,Краткое назначение семьи,Применяется в компаниях группы
General Management,Корпоративное управление; Управление бизнес-единицей; Операционное управление,Бизнес-ассистент; Руководитель проекта; Операционный менеджер; Руководитель направления; Директор подразделения; Исполнительный директор; Генеральный директор,Specialist; Senior; Manager; Head; Director,"Общее управление бизнесом, функцией или бизнес-единицей, координация функций, достижение финансовых и операционных результатов",МОСТРА-ГРУПП; Zoobazar; Burger King; Dodo; Прилесье; T&T
Sales & Marketing,Полевые продажи; Key Account; B2B/HoReCa продажи; Brand Marketing; Trade Marketing; Digital; CRM,Торговый представитель; Мерчандайзер; Менеджер по продажам; KAM; Старший KAM; Супервайзер продаж; Территориальный менеджер; Региональный менеджер; Бренд-менеджер; Trade Marketing Specialist; Digital Marketing Manager; CRM-менеджер; Руководитель продаж; Руководитель маркетинга; Коммерческий директор; Директор по маркетингу,Сотрудник; Specialist; Senior; Lead; Manager; Head; Director,"Рост выручки, трафика, доли рынка и узнаваемости брендов через продажи, клиентское управление, маркетинговые активности и развитие каналов",МОСТРА-ГРУПП; Zoobazar; Burger King; Dodo; частично T&T
Procurement & Category Management,Прямые закупки; Непрямые закупки; Снабжение; Supplier Management; Ассортимент; Ценообразование; Промо; Управление категорией,Ассистент по закупкам; Специалист по закупкам; Менеджер по закупкам; Категорийный закупщик; Менеджер по поставщикам; Категорийный менеджер; Старший категорийный менеджер; Руководитель категории; Руководитель закупок; Head of Procurement / Category,Junior; Specialist; Senior; Lead; Manager; Head; Director,"Обеспечение бизнеса товарами, материалами и услугами, а также управление ассортиментом, рентабельностью категории, ценообразованием и промо",МОСТРА-ГРУПП; Zoobazar; Burger King; Dodo; Прилесье; T&T
Retail Operations,Магазин; Сеть магазинов; Операционное управление розницей,Продавец-консультант; Кассир; Старший продавец; Администратор магазина; Заместитель управляющего; Управляющий магазином; Территориальный управляющий; Региональный менеджер; Директор розницы,Сотрудник; Старший сотрудник; Супервайзер; Manager; Head; Director,"Управление ежедневной работой магазинов: продажи, сервис, стандарты, потери, персонал и выполнение коммерческих показателей",Прежде всего Zoobazar
Restaurant Operations,Ресторан; Смена; Сеть ресторанов; Операционное сопровождение ресторанов,Сотрудник ресторана; Кассир; Повар; Старший смены; Супервайзер смены; Ассистент менеджера ресторана; Менеджер ресторана; Управляющий рестораном; Территориальный управляющий; Операционный директор,Сотрудник; Старший сотрудник; Супервайзер; Manager; Head; Director,"Обеспечение бесперебойной работы ресторанов, соблюдение стандартов бренда, сервиса, food safety, labor cost и food cost",Burger King; Dodo
Logistics & Warehouse Operations,Транспортная логистика; Складская логистика; Диспетчеризация; Маршрутизация; Приемка; Хранение; Комплектация; Отгрузка; Инвентаризация,Логист-координатор; Диспетчер; Специалист по логистике; Менеджер по логистике; Старший логист; Кладовщик; Комплектовщик; Оператор склада; Водитель погрузчика; Старший кладовщик; Бригадир; Начальник смены; Руководитель склада; Руководитель логистического участка; Директор по логистике / Директор РЦ,Сотрудник; Старший сотрудник; Specialist; Senior; Бригадир; Начальник смены; Manager; Head; Director,"Управление движением товара от приемки и хранения до комплектации, отгрузки и доставки, с фокусом на SLA, стоимость, точность и оборачиваемость",МОСТРА-ГРУПП; Прилесье; T&T; Zoobazar; частично Burger King и Dodo
Transport & Supply Chain Planning,Автопарк; Экспедирование; Fleet management; Demand Planning; Supply Planning; Inventory Planning; S&OP,Водитель-экспедитор; Водитель грузового транспорта; Диспетчер автотранспорта; Координатор автопарка; Механик; Менеджер автопарка; Специалист по планированию поставок; Специалист по планированию запасов; Demand Planner; Supply Planner; S&OP Analyst; Руководитель транспортного направления; Руководитель планирования; Head of Supply Chain,Сотрудник; Specialist; Senior; Lead; Manager; Head; Director,"Управление транспортными мощностями, автопарком, поставками, запасами и балансом спроса и предложения для обеспечения доступности товара и эффективности цепочки поставок",МОСТРА-ГРУПП; T&T; Прилесье; Zoobazar; Burger King; Dodo
Finance & Accounting,FP&A; Controlling; Treasury; Business Finance; Бухгалтерский учет; Налоговый учет; Payroll; AP/AR; ТМЦ,Младший финансовый аналитик; Финансовый аналитик; Экономист; Специалист по бюджетированию; Специалист по казначейству; Бухгалтер; Бухгалтер по первичной документации; Бухгалтер по расчетам; Бухгалтер по заработной плате; Старший бухгалтер; Ведущий бухгалтер; Главный бухгалтер; Руководитель FP&A; Финансовый контролер; CFO,Junior; Specialist; Senior; Lead; Manager; Head; Director,"Управление финансовым планированием, отчетностью, ликвидностью, бухгалтерским и налоговым учетом, контролем результатов и поддержкой управленческих решений",Все компании группы
HR,Talent Acquisition; HR Operations; C&B; HRBP; T&D,HR-ассистент; Специалист по кадрам; Рекрутер; Специалист по подбору; HR Generalist; Специалист по обучению; Специалист по C&B; HRBP; Старший HRBP; Руководитель подбора; Руководитель C&B; Head of HR; HR Director,Junior; Specialist; Senior; Lead; Manager; Head; Director,"Обеспечение бизнеса персоналом, организационной эффективностью, оплатой труда, развитием сотрудников и кадровым администрированием",Все компании группы
IT,Support; Infrastructure; Business Applications; Data/BI; Information Security,Специалист техподдержки; Системный администратор; Аналитик бизнес-систем; BI-аналитик; Разработчик; Администратор ERP/WMS/TMS/POS; Инженер интеграций; Специалист ИБ; Руководитель IT-проектов; Head of IT; IT Director,Junior; Specialist; Senior; Lead; Manager; Head; Director,"Поддержка и развитие цифровой инфраструктуры, бизнес-систем, аналитики и автоматизации операционной деятельности",Все компании группы
Legal,Договорная работа; Корпоративное право; Трудовое право; Претензионная работа; Regulatory,Младший юрист; Юрисконсульт; Юрист по договорной работе; Юрист по трудовому праву; Корпоративный юрист; Старший юрисконсульт; Ведущий юрист; Руководитель юридического направления; Legal Director,Junior; Specialist; Senior; Lead; Manager; Head; Director,"Правовое сопровождение бизнеса, договоров, трудовых отношений, корпоративных вопросов и регуляторных требований",Все компании группы
